Subject,sex,mstatus,age,occupation,educyrs,distwork,workyrs,annualinc,famsize,ressize
2,1,2,48,1,16,34,10,27,4,22
15,1,2,50,1,16,17,23,24,3,20
43,2,3,25,1,17,20,3,18,2,12
44,2,1,24,1,18,10,1,19,1,5
46,2,1,34,1,16,13,7,14,1,7
51,2,1,25,1,16,4,3,15,1,5
78,2,3,29,1,18,21,5,20,2,24
88,2,1,26,1,16,29,4,17,1,70
101,2,3,31,1,18,24,7,19,3,15
104,2,1,33,1,16,28,10,20,1,23
105,1,2,29,1,18,15,5,29,3,27
106,1,2,22,1,16,29,1,22,2,12
109,1,2,32,1,16,26,2,30,4,27
111,1,2,48,1,16,23,14,20,4,29
115,1,2,54,1,16,19,26,22,2,29
122,1,2,55,1,16,34,25,29,3,22
124,1,2,31,1,16,33,4,32,4,27
125,2,1,43,1,16,16,3,17,1,10
181,1,2,44,1,16,26,20,22,4,19
193,2,1,22,1,16,24,1,17,1,7
195,1,1,24,1,16,21,2,21,1,4
207,2,3,32,1,16,25,8,16,4,12
212,1,1,25,1,16,14,2,18,1,7
215,1,1,32,1,16,14,10,30,1,9
221,1,3,23,1,16,15,1,21,1,15
228,1,2,31,1,17,8,1,39,2,9
244,1,2,30,1,17,16,3,32,4,28
247,1,2,26,1,16,12,2,25,3,28
257,2,3,26,1,18,25,2,18,1,18
286,1,2,27,1,17,16,3,20,4,19
290,1,2,34,1,18,24,2,21,3,16
299,1,1,33,1,17,28,3,35,1,19
302,2,1,41,1,18,8,12,19,1,5
304,1,1,44,1,18,26,20,20,1,6
325,2,1,40,1,16,9,16,19,1,7
327,2,1,27,1,16,13,1,17,1,5
329,2,3,33,1,18,24,11,20,3,19
330,1,2,35,1,16,35,7,21,4,16
332,1,2,23,1,16,29,1,20,2,21
345,1,2,30,1,16,9,4,34,3,39
352,1,1,24,1,16,20,3,19,1,20
371,1,1,36,1,16,14,6,21,1,8
376,2,1,23,1,16,21,1,19,1,6
378,1,2,38,1,12,32,12,22,3,18
384,2,3,39,1,18,19,17,16,4,12
399,1,3,40,1,12,23,1,16,1,6
416,1,2,28,1,16,6,6,21,3,18
423,1,2,29,1,16,23,3,30,4,36
441,1,2,42,1,18,18,13,26,4,28
464,2,3,31,1,17,6,8,18,2,13
469,1,1,23,1,16,9,1,22,1,9
487,1,2,37,1,18,24,6,19,3,15
498,1,1,31,1,18,26,2,26,1,9
502,2,1,47,1,18,25,12,21,1,11
506,1,2,36,1,16,23,2,23,3,21
510,1,2,39,1,18,13,12,20,5,20
524,1,1,28,1,18,25,5,24,1,4
531,2,3,39,1,18,14,4,15,1,5
540,1,2,43,1,12,3,15,25,3,18
545,2,3,42,1,16,24,4,24,3,12
556,2,1,24,1,16,25,2,20,1,6
565,1,2,30,1,16,11,4,28,4,26
567,1,2,33,1,16,35,3,29,5,27
568,1,2,35,1,18,23,5,23,3,25
575,1,3,25,1,16,11,1,20,1,7
581,1,2,32,1,16,26,10,29,2,25
585,2,1,36,1,18,8,3,19,1,11
595,1,2,27,1,18,10,2,20,3,18
598,2,3,32,1,18,18,6,18,2,13
617,1,2,24,1,16,9,1,18,4,18
628,1,1,23,1,16,5,2,21,1,9
648,2,1,32,1,18,7,5,17,1,8
661,2,3,34,1,18,17,3,21,2,19
664,1,1,29,1,17,14,4,29,1,14
672,1,2,33,1,18,5,9,30,4,17
679,1,2,34,1,18,34,4,19,3,16
687,1,2,36,1,16,13,9,19,4,15
690,2,1,35,1,18,5,8,19,1,8
694,1,3,22,1,16,26,1,21,1,8
696,1,1,37,1,18,32,2,16,1,7
698,2,3,34,1,18,18,7,20,3,14
700,1,2,27,1,16,28,3,21,3,17
717,1,2,26,1,16,19,2,23,4,19
